iteracja,cost
0,1421
1,1451
2,1451
3,1806
4,1806
5,1836
6,1836
7,1836
8,1836
9,1836
10,1836
11,1836
12,1836
13,1836
14,1825
15,1825
16,1825
17,1825
18,1825
19,1839
20,1839
21,1839
22,1839
23,1839
24,2087
25,2087
26,2087
27,2087
28,2211
29,2289
30,2333
31,2220
32,2270
33,2391
34,2391
35,2391
36,2391
37,2391
38,2410
39,2490
40,2490
41,2513
42,2513
43,2513
44,2518
45,2518
46,2518
47,2518
48,2518
49,2518
50,2354
51,2358
52,2358
53,2358
54,2383
55,2383
56,2383
57,2620
58,2695
59,2749
60,2643
61,2643
62,2643
63,2701
64,2733
65,2733
66,2756
67,2709
68,2797
69,2603
70,2603
71,2458
72,2458
73,2458
74,2451
75,2451
76,2451
77,2451
78,2474
79,2474
80,2474
81,2577
82,2659
83,2659
84,2564
85,2582
86,2582
87,2582
88,2582
89,2582
90,2466
91,2466
92,2438
93,2438
94,2406
95,2406
96,2406
97,2383
98,2359
99,2311
100,2474
101,2474
102,2588
103,2716
104,2586
105,2590
106,2590
107,2618
108,2612
109,2656
110,2663
111,2663
112,2440
113,2440
114,2473
115,2473
116,2498
117,2512
118,2523
119,2548
120,2520
121,2520
122,2473
123,2473
124,2473
125,2599
126,2599
127,2560
128,2585
129,2585
130,2585
131,2561
132,2674
133,2674
134,2674
135,2674
136,2674
137,2674
138,2674
139,2674
140,2684
141,2695
142,2755
143,2637
144,2607
145,2505
146,2671
147,2671
148,2671
149,2671
150,2671
151,2619
152,2637
153,2637
154,2637
155,2640
156,2662
157,2662
158,2662
159,2662
160,2662
161,2662
162,2655
163,2655
164,2655
165,2655
166,2604
167,2604
168,2677
169,2677
170,2807
171,2789
172,2789
173,2789
174,2752
175,2752
176,2762
177,2795
178,2795
179,2795
180,2795
181,2836
182,2833
183,2833
184,2932
185,2973
186,2986
187,2965
188,2965
189,2953
190,2884
191,2884
192,2879
193,3039
194,3039
195,3033
196,3064
197,3061
198,3061
199,3041
200,3041
201,2913
202,2913
203,2929
204,2929
205,2773
206,2919
207,2919
208,2930
209,2909
210,2870
211,2761
