generacja,best_cost,avg_cost,worst_cost
1,2871,3309.436,3832
2,2769,3141.312,3592
3,2702,3011.508,3460
4,2568,2922.484,3520
5,2568,2847.696,3235
6,2490,2812.516,3282
7,2470,2764.948,3227
8,2302,2701.344,3145
9,2302,2637.4,3238
10,2229,2578.412,3104
11,2229,2476.616,3026
12,2162,2342.492,2961
13,2089,2287.688,2584
14,2089,2241.464,2563
15,2048,2196.792,2472
16,2026,2150.196,2547
17,2004,2119.236,2474
18,1989,2103.304,2550
19,1984,2087.244,2496
20,1937,2070.016,2458
21,1937,2041.852,2360
22,1910,2021.244,2514
23,1886,1996.024,2427
24,1864,1986.712,2502
25,1855,1950.98,2430
26,1843,1927.42,2379
27,1830,1929.296,2446
28,1813,1919.068,2334
29,1798,1886.496,2444
30,1776,1873.888,2438
31,1763,1865.356,2303
32,1751,1859.164,2313
33,1706,1835.72,2249
34,1706,1818.204,2268
35,1670,1806.816,2238
36,1670,1761.86,2211
37,1656,1767.268,2229
38,1654,1740.068,2168
39,1643,1724.436,2151
40,1641,1723.064,2212
41,1641,1728.86,2150
42,1624,1702.856,2178
43,1621,1714.056,2265
44,1604,1719.948,2199
45,1604,1718.308,2295
46,1601,1767.464,2365
47,1599,1740.42,2233
48,1586,1730.968,2248
49,1586,1741.404,2364
50,1586,1748.684,2347
51,1582,1703.616,2249
52,1582,1658.92,2211
53,1573,1662.488,2225
54,1573,1647.552,2156
55,1573,1641.388,2077
56,1568,1656.12,2140
57,1561,1664.096,2112
58,1561,1668.78,2110
59,1559,1679.464,2252
60,1559,1676.064,2098
61,1548,1643.656,2185
62,1548,1636.988,2074
63,1544,1617.836,2105
64,1537,1635.164,2230
65,1537,1640.868,2138
66,1537,1629.456,2168
67,1533,1598.156,2096
68,1533,1600.16,2166
69,1532,1593.316,2074
70,1520,1603.38,2036
71,1520,1618.568,2168
72,1520,1583.14,2162
73,1519,1593.38,2047
74,1519,1572.852,2059
75,1519,1593.828,2065
76,1519,1577.8,2039
77,1519,1580.972,2015
78,1519,1585.504,2076
79,1519,1587.752,2138
80,1519,1585.356,2034
81,1519,1593.324,2013
82,1519,1578.376,2065
83,1519,1584.54,2052
84,1519,1585.956,2138
85,1519,1584.008,2039
86,1519,1593.596,2054
87,1519,1587.056,2039
88,1519,1589.348,2074
89,1519,1577.78,2031
90,1513,1575.676,2076
91,1513,1586.752,2080
92,1513,1576.416,2174
93,1513,1595.452,2089
94,1513,1579.1,2091
95,1513,1580.208,2149
96,1513,1595.332,2160
97,1513,1576.216,2103
98,1513,1600.172,2103
99,1513,1583.364,2145
100,1513,1588.596,2256
101,1512,1585.316,2241
102,1512,1561.356,2046
103,1512,1582.104,2164
104,1512,1585.484,2136
105,1508,1600.348,2138
106,1508,1588.44,2142
107,1508,1598.228,2105
108,1506,1592.06,2255
109,1506,1583.284,2293
110,1502,1581.68,2254
111,1502,1599.144,2114
112,1483,1610.008,2118
113,1470,1580.9,2278
114,1470,1579.472,2115
115,1464,1568.28,2139
116,1464,1543.344,2138
117,1447,1538.768,2143
118,1447,1537.056,2096
119,1447,1547.512,2164
120,1422,1521.68,2283
121,1422,1537.468,2146
122,1422,1517.248,2115
123,1415,1507.128,2097
124,1415,1488.888,2103
125,1412,1518.8,2104
126,1412,1491.824,2034
127,1398,1492.564,2018
128,1395,1484.336,1967
129,1395,1503.924,2062
130,1393,1495.756,1994
131,1385,1499.2,2058
132,1385,1468.308,2010
133,1380,1500.248,2035
134,1380,1462.84,2006
